//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

Adel                 | 8, 4.0635       | 0
Adelaide             | 8, 4.0635       | 0
Adele                | 28, 14.2221      | 0
Adelina              | 1, 0.5079       | 0
Ademais              | 1, 0.5079       | 0
Ademar               | 2, 1.0159       | 0
Ademir               | 5, 2.5397       | 0
Adentro              | 2, 1.0159       | 0
Aderbal              | 1, 0.5079       | 0
Adereços             | 5, 2.5397       | 0
Adeus                | 6, 3.0476       | 0
Adhemar              | 1, 0.5079       | 0
Adi                  | 2, 1.0159       | 0
Adiar                | 1, 0.5079       | 0
Adicional            | 2, 1.0159       | 0
Adicionalmente       | 3, 1.5238       | 0
Adicionamos          | 1, 0.5079       | 0
Adidas               | 6, 3.0476       | 0
Adilson              | 7, 3.5555       | 0
Adilton              | 1, 0.5079       | 0
Adios                | 1, 0.5079       | 0
Adis                 | 1, 0.5079       | 0
Adivinha             | 1, 0.5079       | 0
Adjacências          | 8, 4.0635       | 0
Adler                | 2, 1.0159       | 0
Administrada         | 1, 0.5079       | 0
Administradora       | 2, 1.0159       | 0
Administradoras      | 1, 0.5079       | 0
Administration       | 4, 2.0317       | 0
Administrativa       | 7, 3.5555       | 0
Administrativas      | 1, 0.5079       | 0
Administrativo       | 14, 7.1111       | 0
Administração        | 35, 17.7777      | 0
Administrações       | 1, 0.5079       | 0
Admirador            | 1, 0.5079       | 0
Admirei              | 1, 0.5079       | 0
Admiro               | 1, 0.5079       | 0
Admirável            | 1, 0.5079       | 0
Admito               | 1, 0.5079       | 0
Adnan                | 4, 2.0317       | 0
Adnet                | 1, 0.5079       | 0
Ado                  | 1, 0.5079       | 0
Adolescente          | 24, 12.1904      | 0
Adolescentes         | 9, 4.5714       | 0
Adolescência         | 4, 2.0317       | 0
Adolf                | 1, 0.5079       | 0
Adolfo               | 13, 6.6031       | 0
Adolpho              | 2, 1.0159       | 0
Adoniran             | 3, 1.5238       | 0
Adora                | 1, 0.5079       | 0
Adoraria             | 2, 1.0159       | 0
Adoração             | 1, 0.5079       | 0
Adorei               | 2, 1.0159       | 0
Adoro                | 3, 1.5238       | 0
Adotamos             | 2, 1.0159       | 0
Adotar               | 6, 3.0476       | 0
Adoção               | 1, 0.5079       | 0
Adrian               | 5, 2.5397       | 0
Adriana              | 24, 12.1904      | 0
Adriane              | 3, 1.5238       | 0
Adriani              | 2, 1.0159       | 0
Adriano              | 42, 21.3332      | 0
Adriel               | 1, 0.5079       | 0
Adrien               | 1, 0.5079       | 0
Adrienne             | 2, 1.0159       | 0
Adrián               | 1, 0.5079       | 0
Adulto               | 4, 2.0317       | 0
Adultos              | 9, 4.5714       | 0
Advance              | 1, 0.5079       | 0
Advanced             | 1, 0.5079       | 0
Adventista           | 2, 1.0159       | 0
Adversário           | 2, 1.0159       | 0
Advocacia            | 3, 1.5238       | 0
Advogado             | 4, 2.0317       | 0
Advogados            | 14, 7.1111       | 0
Adão                 | 7, 3.5555       | 0
Adélia               | 5, 2.5397       | 0
Adílio               | 2, 1.0159       | 0
Aedes                | 602, 305.7762     | 0
Aegypti              | 22, 11.1745      | 0
Aerolândia           | 4, 2.0317       | 0
Aeronáutica          | 19, 9.6507       | 0
Aeronáuticos         | 2, 1.0159       | 0
Aeroporto            | 80, 40.6347      | 0
Aeroportos           | 5, 2.5397       | 0
Aerosmith            | 2, 1.0159       | 0
Afeganistão          | 52, 26.4126      | 0
Affonseca            | 1, 0.5079       | 0
Affonso              | 2, 1.0159       | 0
Afinal               | 15, 7.6190       | 0
Afins                | 5, 2.5397       | 0
Afirma               | 2, 1.0159       | 0
Afirmo               | 1, 0.5079       | 0
Afonsinho            | 1, 0.5079       | 0
Afonso               | 26, 13.2063      | 0
Afonsos              | 4, 2.0317       | 0
Afora                | 1, 0.5079       | 0
Afoxé                | 9, 4.5714       | 0
Africa               | 1, 0.5079       | 0
African              | 2, 1.0159       | 0
Africana             | 15, 7.6190       | 0
Africanas            | 4, 2.0317       | 0
Africano             | 4, 2.0317       | 0
Afro                 | 17, 8.6349       | 0
Afrodisíaco          | 1, 0.5079       | 0
Afrodite             | 1, 0.5079       | 0
Afrânio              | 18, 9.1428       | 0
Aftosa               | 2, 1.0159       | 0
Ag                   | 2, 1.0159       | 0
Again                | 2, 1.0159       | 0
Age                  | 6, 3.0476       | 0
Agencia              | 1, 0.5079       | 0
Agency               | 4, 2.0317       | 0
Agenda               | 11, 5.5873       | 0
Agendado             | 1, 0.5079       | 0
Agenor               | 3, 1.5238       | 0
Agente               | 7, 3.5555       | 0
Agentes              | 77, 39.1109      | 0
Agenzia              | 1, 0.5079       | 0
Ageu                 | 1, 0.5079       | 0
Agir                 | 3, 1.5238       | 0
Agnaldo              | 2, 1.0159       | 0
Agnelli              | 1, 0.5079       | 0
Agnelo               | 3, 1.5238       | 0
Agnieszka            | 2, 1.0159       | 0
Agora                | 227, 115.3010     | 0
Agostinho            | 4, 2.0317       | 0
Agostini             | 1, 0.5079       | 0
Agosto               | 2, 1.0159       | 0
Agra                 | 2, 1.0159       | 0
Agrada               | 1, 0.5079       | 0
Agradecemos          | 2, 1.0159       | 0
Agradecendo          | 1, 0.5079       | 0
Agradeço             | 13, 6.6031       | 0
Agregado             | 1, 0.5079       | 0
Agregou              | 1, 0.5079       | 0
Agremiações          | 1, 0.5079       | 0
Agressão             | 1, 0.5079       | 0
Agressões            | 1, 0.5079       | 0
Agreste              | 1, 0.5079       | 0
Agricola             | 1, 0.5079       | 0
Agricultores         | 2, 1.0159       | 0
Agricultura          | 55, 27.9364      | 0
Agrigento            | 2, 1.0159       | 0
Agripino             | 1, 0.5079       | 0
Agrião               | 1, 0.5079       | 0
Agro                 | 2, 1.0159       | 0
Agroecologia         | 3, 1.5238       | 0
Agroindústria        | 1, 0.5079       | 0
Agronomia            | 1, 0.5079       | 0
Agronômico           | 1, 0.5079       | 0
Agropecuária         | 5, 2.5397       | 0
Agrupamento          | 1, 0.5079       | 0
Agrária              | 2, 1.0159       | 0
Agrárias             | 1, 0.5079       | 0
Agrícola             | 1, 0.5079       | 0
Agrícolas            | 2, 1.0159       | 0
Agua                 | 4, 2.0317       | 0
Aguardando           | 1, 0.5079       | 0
Aguardo              | 1, 0.5079       | 0
Aguda                | 4, 2.0317       | 0
Aguenta              | 1, 0.5079       | 0
Aguero               | 1, 0.5079       | 0
Aguiar               | 23, 11.6825      | 0
Aguilar              | 1, 0.5079       | 0
Aguinaldo            | 3, 1.5238       | 0
Aguirre              | 12, 6.0952       | 0
Agulha               | 1, 0.5079       | 0
Agulhas              | 1, 0.5079       | 0
Agune                | 2, 1.0159       | 0
Agustin              | 4, 2.0317       | 0
Agência              | 579, 294.0937     | 0
Agências             | 6, 3.0476       | 0
Ah                   | 3, 1.5238       | 0
Aha                  | 2, 1.0159       | 0
Ahmad                | 2, 1.0159       | 0
Ahmed                | 4, 2.0317       | 0
Ahmet                | 21, 10.6666      | 0
Ai                   | 6, 3.0476       | 0
Aiatolá              | 2, 1.0159       | 0
Aichi                | 1, 0.5079       | 0
Aid                  | 1, 0.5079       | 0
Aidar                | 3, 1.5238       | 0
Aids                 | 55, 27.9364      | 0
Aiea                 | 8, 4.0635       | 0
Ailton               | 6, 3.0476       | 0
Aimar                | 6, 3.0476       | 0
Aimoré               | 5, 2.5397       | 0
Ain                  | 1, 0.5079       | 0
Ainda                | 466, 236.6972     | 0
Air                  | 20, 10.1587      | 0
Airbus               | 10, 5.0793       | 0
Aires                | 135, 68.5711      | 0
Airlines             | 28, 14.2221      | 0
Airplane             | 4, 2.0317       | 0
Airton               | 2, 1.0159       | 0
Airways              | 10, 5.0793       | 0
Airão                | 1, 0.5079       | 0
Aiyê                 | 4, 2.0317       | 0
Ajax                 | 8, 4.0635       | 0
Ajuda                | 6, 3.0476       | 0
Ajudar               | 1, 0.5079       | 0
Ajudem               | 2, 1.0159       | 0
Ajudou               | 2, 1.0159       | 0
Ajuste               | 1, 0.5079       | 0
Akbar                | 7, 3.5555       | 0
Akhbar               | 3, 1.5238       | 0
Akihito              | 2, 1.0159       | 0
Akira                | 2, 1.0159       | 0
Al                   | 213, 108.1899     | 0
Ala                  | 6, 3.0476       | 0
Alaa                 | 3, 1.5238       | 0
Alabama              | 34, 17.2698      | 0
Aladdin              | 3, 1.5238       | 0
Alagoas              | 28, 14.2221      | 0
Alah                 | 14, 7.1111       | 0
Alain                | 4, 2.0317       | 0
Alameda              | 5, 2.5397       | 0
Alan                 | 59, 29.9681      | 0
Alarcon              | 1, 0.5079       | 0
Alario               | 1, 0.5079       | 0
Alarme               | 1, 0.5079       | 0
Alas                 | 2, 1.0159       | 0
Alasca               | 10, 5.0793       | 0
Alaska               | 8, 4.0635       | 0
Alba                 | 5, 2.5397       | 0
Albacete             | 1, 0.5079       | 0
Albano               | 2, 1.0159       | 0
Albergues            | 3, 1.5238       | 0
Albero               | 1, 0.5079       | 0
Albert               | 43, 21.8412      | 0
Alberti              | 2, 1.0159       | 0
Alberto              | 79, 40.1268      | 0
Albin                | 1, 0.5079       | 0
Albino               | 1, 0.5079       | 0
Albuquerque          | 40, 20.3174      | 0
Albânia              | 8, 4.0635       | 0
Alca                 | 4, 2.0317       | 0
Alcantara            | 1, 0.5079       | 0
Alceu                | 8, 4.0635       | 0
Alcides              | 11, 5.5873       | 0
Alcino               | 1, 0.5079       | 0
Alcione              | 4, 2.0317       | 0
Alckmin              | 10, 5.0793       | 0
Alcoa                | 1, 0.5079       | 0
Alcoolismo           | 3, 1.5238       | 0
Alcoólicos           | 2, 1.0159       | 0
Alcântara            | 14, 7.1111       | 0
Alda                 | 1, 0.5079       | 0
Aldeia               | 11, 5.5873       | 0
Aldeias              | 2, 1.0159       | 0
Aldemir              | 1, 0.5079       | 0
Aldeota              | 1, 0.5079       | 0
Aldir                | 10, 5.0793       | 0
Aldo                 | 18, 9.1428       | 0
Ale                  | 2, 1.0159       | 0
Alecrim              | 2, 1.0159       | 0
Alegando             | 1, 0.5079       | 0
Alegre               | 66, 33.5236      | 0
Alegria              | 46, 23.3650      | 0
Aleijadinho          | 1, 0.5079       | 0
Aleixo               | 2, 1.0159       | 0
Alejandro            | 23, 11.6825      | 0
Alejo                | 1, 0.5079       | 0
Aleksandr            | 2, 1.0159       | 0
Aleluia              | 3, 1.5238       | 0
Alem                 | 1, 0.5079       | 0
Alemanha             | 316, 160.5071     | 0
Alemán               | 1, 0.5079       | 0
Alemã                | 2, 1.0159       | 0
Alemães              | 2, 1.0159       | 0
Alemão               | 39, 19.8094      | 0
Alena                | 1, 0.5079       | 0
Alencar              | 15, 7.6190       | 0
Alergia              | 5, 2.5397       | 0
Alerj                | 42, 21.3332      | 0
Alerta               | 23, 11.6825      | 0
Alessandra           | 23, 11.6825      | 0
Alessandria          | 5, 2.5397       | 0
Alessandro           | 20, 10.1587      | 0
Alessio              | 5, 2.5397       | 0
Alex                 | 45, 22.8570      | 0
Alexander            | 18, 9.1428       | 0
Alexandr             | 2, 1.0159       | 0
Alexandra            | 11, 5.5873       | 0
Alexandre            | 124, 62.9838      | 0
Alexandria           | 6, 3.0476       | 0
Alexandrina          | 1, 0.5079       | 0
Alexandrino          | 8, 4.0635       | 0
Alexei               | 2, 1.0159       | 0
Alexey               | 1, 0.5079       | 0
Alexis               | 21, 10.6666      | 0
Alf                  | 3, 1.5238       | 0
Alfabetização        | 2, 1.0159       | 0
Alferes              | 2, 1.0159       | 0
Alfons               | 2, 1.0159       | 0
Alfonso              | 19, 9.6507       | 0
Alfred               | 4, 2.0317       | 0
Alfredo              | 24, 12.1904      | 0
Alfândega            | 7, 3.5555       | 0
Algar                | 1, 0.5079       | 0
Algarve              | 2, 1.0159       | 0
Algo                 | 4, 2.0317       | 0
Algum                | 1, 0.5079       | 0
Alguma               | 3, 1.5238       | 0
Algumas              | 65, 33.0157      | 0
Alguns               | 114, 57.9045      | 0
Alguém               | 2, 1.0159       | 0
Ali                  | 51, 25.9046      | 0
Aliadas              | 1, 0.5079       | 0
Aliado               | 2, 1.0159       | 0
Aliados              | 1, 0.5079       | 0
Aliança              | 30, 15.2380      | 0
Alianças             | 1, 0.5079       | 0
Alicate              | 1, 0.5079       | 0
Alice                | 24, 12.1904      | 0
Alicia               | 12, 6.0952       | 0
Alien                | 2, 1.0159       | 0
Aliens               | 1, 0.5079       | 0
Alighieri            | 4, 2.0317       | 0
Alija                | 1, 0.5079       | 0
Alimentar            | 4, 2.0317       | 0
Alimentação          | 15, 7.6190       | 0
Alimentos            | 10, 5.0793       | 0
Aline                | 6, 3.0476       | 0
Alison               | 3, 1.5238       | 0
Alisson              | 8, 4.0635       | 0
Alitalia             | 23, 11.6825      | 0
Aliás                | 12, 6.0952       | 0
All                  | 12, 6.0952       | 0
Allah                | 4, 2.0317       | 0
Allan                | 3, 1.5238       | 0
Alle                 | 1, 0.5079       | 0
Allegri              | 8, 4.0635       | 0
Allen                | 6, 3.0476       | 0
Allende              | 3, 1.5238       | 0
Allgayer             | 1, 0.5079       | 0
Alliance             | 3, 1.5238       | 0
Ally                 | 1, 0.5079       | 0
Alma                 | 5, 2.5397       | 0
Almagro              | 15, 7.6190       | 0
Almanaque            | 3, 1.5238       | 0
Almaviva             | 1, 0.5079       | 0
Almeida              | 59, 29.9681      | 0
Almeidinha           | 2, 1.0159       | 0
Almerinda            | 3, 1.5238       | 0
Almino               | 1, 0.5079       | 0
Almir                | 13, 6.6031       | 0
Almirante            | 28, 14.2221      | 0
Aloisio              | 1, 0.5079       | 0
Aloizio              | 12, 6.0952       | 0
Alon                 | 7, 3.5555       | 0
Alongamento          | 1, 0.5079       | 0
Alonso               | 26, 13.2063      | 0
Aloysio              | 5, 2.5397       | 0
Aloísio              | 4, 2.0317       | 0
Alper                | 1, 0.5079       | 0
Alpes                | 3, 1.5238       | 0
Alpha                | 4, 2.0317       | 0
Alphabet             | 6, 3.0476       | 0
Alpine               | 1, 0.5079       | 0
Alpino               | 1, 0.5079       | 0
Alta                 | 31, 15.7460      | 0
Altair               | 7, 3.5555       | 0
Altamiro             | 1, 0.5079       | 0
Altas                | 1, 0.5079       | 0
Alter                | 1, 0.5079       | 0
Alterar              | 2, 1.0159       | 0
Alteração            | 1, 0.5079       | 0
Alterações           | 3, 1.5238       | 0
Alterio              | 4, 2.0317       | 0
Alternativa          | 12, 6.0952       | 0
Alternativas         | 4, 2.0317       | 0
Alternative          | 2, 1.0159       | 0
Altheman             | 1, 0.5079       | 0
Altino               | 1, 0.5079       | 0
Altman               | 1, 0.5079       | 0
Alto                 | 78, 39.6188      | 0
Altos                | 6, 3.0476       | 0
Alumínio             | 1, 0.5079       | 0
Aluna                | 3, 1.5238       | 0
Alunas               | 1, 0.5079       | 0
Aluno                | 3, 1.5238       | 0
Alunos               | 8, 4.0635       | 0
Alva                 | 2, 1.0159       | 0
Alvarado             | 4, 2.0317       | 0
Alvarenga            | 5, 2.5397       | 0
Alvares              | 2, 1.0159       | 0
Alvarez              | 1, 0.5079       | 0
Alvaro               | 20, 10.1587      | 0
Alvará               | 1, 0.5079       | 0
Alves                | 105, 53.3331      | 0
Alvim                | 6, 3.0476       | 0
Alvin                | 3, 1.5238       | 0
Alvinegro            | 12, 6.0952       | 0
Alviverde            | 5, 2.5397       | 0
Alvo                 | 4, 2.0317       | 0
Alvorada             | 10, 5.0793       | 0
Always               | 3, 1.5238       | 0
Aly                  | 1, 0.5079       | 0
Alysson              | 2, 1.0159       | 0
Alzheimer            | 13, 6.6031       | 0
Alzira               | 3, 1.5238       | 0
Alá                  | 9, 4.5714       | 0
Aléia                | 1, 0.5079       | 0
Além                 | 1270, 645.0761     | 0
Alê                  | 14, 7.1111       | 0
Alíquotas            | 1, 0.5079       | 0
Am                   | 1, 0.5079       | 0
Amada                | 1, 0.5079       | 0
