//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

abortar              | 3, 1.1616       | 14, 23.0309
abortaram            | 0               | 4, 6.5802
abortarem            | 0               | 1, 1.6451
abortavam            | 0               | 1, 1.6451
abortem              | 0               | 2, 3.2901
abortistas           | 0               | 1, 1.6451
abortivo             | 0               | 1, 1.6451
aborto               | 8, 3.0976       | 207, 340.5277
abortos              | 2, 0.7744       | 45, 74.0278
abortou              | 2, 0.7744       | 2, 3.2901
abortássemos         | 1, 0.3872       | 0
abra                 | 3, 1.1616       | 0
abrace               | 2, 0.7744       | 0
abracei              | 2, 0.7744       | 0
abracei-o            | 0               | 1, 1.6451
abracei-te           | 0               | 1, 1.6451
abraham              | 2, 0.7744       | 0
abrams               | 3, 1.1616       | 0
abranda              | 2, 0.7744       | 0
abrandamento         | 38, 14.7138      | 4, 6.5802
abrandando           | 1, 0.3872       | 0
abrandar             | 15, 5.8081       | 3, 4.9352
abrandaram           | 1, 0.3872       | 1, 1.6451
abrandem             | 1, 0.3872       | 1, 1.6451
abrandou             | 4, 1.5488       | 5, 8.2253
abrange              | 40, 15.4882      | 18, 29.6111
abrangem             | 12, 4.6465       | 2, 3.2901
abrangendo           | 12, 4.6465       | 5, 8.2253
abrangente           | 46, 17.8115      | 5, 8.2253
abrangentes          | 9, 3.4848       | 1, 1.6451
abranger             | 11, 4.2593       | 5, 8.2253
abrangeram           | 0               | 1, 1.6451
abrangerá            | 12, 4.6465       | 4, 6.5802
abrangerão           | 2, 0.7744       | 0
abrangeu             | 1, 0.3872       | 1, 1.6451
abrangia             | 3, 1.1616       | 0
abrangida            | 4, 1.5488       | 2, 3.2901
abrangidas           | 7, 2.7104       | 1, 1.6451
abrangido            | 1, 0.3872       | 3, 4.9352
abrangidos           | 17, 6.5825       | 11, 18.0957
abrangência          | 9, 3.4848       | 3, 4.9352
abranja              | 1, 0.3872       | 1, 1.6451
abrantes             | 32, 12.3906      | 0
abrasileira          | 1, 0.3872       | 0
abraão               | 31, 12.0034      | 0
abraça               | 6, 2.3232       | 1, 1.6451
abraçada             | 0               | 1, 1.6451
abraçados            | 0               | 1, 1.6451
abraçam              | 3, 1.1616       | 0
abraçando            | 4, 1.5488       | 1, 1.6451
abraçar              | 24, 9.2929       | 4, 6.5802
abraçaram            | 3, 1.1616       | 0
abraçaram-se         | 0               | 1, 1.6451
abraçarem            | 1, 0.3872       | 0
abraçaria            | 1, 0.3872       | 0
abraçarmo-nos        | 1, 0.3872       | 0
abraçasse            | 2, 0.7744       | 0
abraçaste            | 0               | 1, 1.6451
abraçava             | 0               | 1, 1.6451
abraço               | 13, 5.0337       | 3, 4.9352
abraços              | 2, 0.7744       | 2, 3.2901
abraçou              | 10, 3.8721       | 3, 4.9352
abraçámos            | 1, 0.3872       | 0
abre                 | 45, 17.4242      | 19, 31.2562
abre-se              | 3, 1.1616       | 1, 1.6451
abrem                | 21, 8.1313       | 6, 9.8704
abreu                | 30, 11.6162      | 0
abrevia              | 2, 0.7744       | 0
abreviada            | 1, 0.3872       | 0
abreviadamente       | 3, 1.1616       | 0
abreviatura          | 0               | 1, 1.6451
abri-las             | 0               | 1, 1.6451
abria                | 4, 1.5488       | 4, 6.5802
abridor              | 1, 0.3872       | 0
abriga               | 2, 0.7744       | 0
abrigada             | 0               | 1, 1.6451
abrigar              | 2, 0.7744       | 1, 1.6451
abrigo               | 67, 25.9428      | 45, 74.0278
abrigos              | 0               | 1, 1.6451
abrigou              | 0               | 1, 1.6451
abriguem             | 0               | 1, 1.6451
abril                | 1006, 389.5287     | 160, 263.2098
abrilhanta           | 2, 0.7744       | 0
abrilhantada         | 2, 0.7744       | 0
abrimos              | 2, 0.7744       | 2, 3.2901
abrindo              | 20, 7.7441       | 8, 13.1605
abrir                | 108, 41.8182      | 67, 110.2191
abrir-lhe            | 0               | 1, 1.6451
abrir-se             | 1, 0.3872       | 0
abrira               | 2, 0.7744       | 0
abriram              | 20, 7.7441       | 12, 19.7407
abrirei              | 2, 0.7744       | 0
abrirem              | 2, 0.7744       | 0
abriria              | 1, 0.3872       | 1, 1.6451
abririam             | 0               | 1, 1.6451
abrirá               | 5, 1.9360       | 1, 1.6451
abrirão              | 3, 1.1616       | 0
abrisse              | 0               | 3, 4.9352
abrissem             | 2, 0.7744       | 1, 1.6451
abriu                | 65, 25.1684      | 52, 85.5432
abriu-nos            | 2, 0.7744       | 0
abriu-se             | 2, 0.7744       | 0
abro                 | 1, 0.3872       | 0
abrunhosa            | 2, 0.7744       | 0
abrupta              | 11, 4.2593       | 4, 6.5802
abruptamente         | 2, 0.7744       | 1, 1.6451
abrupto              | 0               | 1, 1.6451
absentismo           | 11, 4.2593       | 0
absoluta             | 91, 35.2357      | 90, 148.0555
absolutamente        | 83, 32.1381      | 37, 60.8673
absolutas            | 12, 4.6465       | 2, 3.2901
absolutismo          | 3, 1.1616       | 2, 3.2901
absolutista          | 10, 3.8721       | 0
absoluto             | 99, 38.3333      | 38, 62.5123
absolutos            | 13, 5.0337       | 4, 6.5802
absolutória          | 2, 0.7744       | 0
absolva              | 2, 0.7744       | 0
absolve              | 6, 2.3232       | 4, 6.5802
absolver             | 8, 3.0976       | 1, 1.6451
